person_age,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_int_rate,credit_score,loan_status
22.0,71948.0,0,RENT,35000.0,16.02,561,1
21.0,12282.0,0,OWN,1000.0,11.14,504,0
25.0,12438.0,3,MORTGAGE,5500.0,12.87,635,1
23.0,79753.0,0,RENT,35000.0,15.23,675,1
24.0,66135.0,1,RENT,35000.0,14.27,586,1
21.0,12951.0,0,OWN,2500.0,7.14,532,1
26.0,93471.0,1,RENT,35000.0,12.42,701,1
24.0,95550.0,5,RENT,35000.0,11.11,585,1
24.0,100684.0,3,RENT,35000.0,8.9,544,1
21.0,12739.0,0,OWN,1600.0,14.74,640,1
22.0,102985.0,0,RENT,35000.0,10.37,621,1
21.0,13113.0,0,OWN,4500.0,8.63,651,1
23.0,114860.0,3,RENT,35000.0,7.9,573,1
26.0,130713.0,0,RENT,35000.0,18.39,708,1
23.0,138998.0,0,RENT,35000.0,7.9,583,0
23.0,600891.0,5,MORTGAGE,30000.0,10.65,670,0
23.0,144943.0,0,RENT,35000.0,7.9,663,0
23.0,111369.0,0,RENT,35000.0,20.0,694,1
23.0,136628.0,0,RENT,35000.0,18.25,709,1
24.0,14283.0,1,MORTGAGE,1750.0,10.99,679,1
25.0,195718.0,0,RENT,35000.0,7.49,684,0
25.0,165792.0,4,RENT,34800.0,16.77,662,0
22.0,79255.0,0,RENT,34000.0,17.58,691,1
24.0,13866.0,0,OWN,1500.0,7.29,600,0
22.0,97420.0,1,RENT,33950.0,14.54,691,1
24.0,82443.0,0,RENT,33000.0,12.68,654,1
21.0,14288.0,0,MORTGAGE,4575.0,17.74,626,1
23.0,14293.0,0,OWN,1400.0,9.32,607,0
24.0,79054.0,1,RENT,32500.0,9.99,700,1
21.0,14988.0,0,OTHER,4000.0,12.84,553,1
21.0,14858.0,0,OWN,2000.0,11.12,589,1
25.0,144855.0,1,RENT,32000.0,6.62,586,0
26.0,114645.0,2,RENT,31050.0,14.17,681,1
25.0,368115.0,3,RENT,24250.0,13.85,567,0
26.0,361076.0,1,MORTGAGE,7800.0,13.49,669,0
21.0,15150.0,0,OWN,2500.0,7.51,600,1
22.0,58868.0,0,RENT,30000.0,18.39,606,1
24.0,78026.0,3,RENT,30000.0,14.54,582,1
25.0,90785.0,4,RENT,30000.0,16.89,649,1
23.0,86811.0,0,RENT,30000.0,11.01,602,1
26.0,75503.0,5,RENT,30000.0,17.99,616,1
24.0,15082.0,0,OWN,2500.0,12.69,631,1
